3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72461 | time : 64242.79 | batch : 1300/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73242 | time : 64987.29 | batch : 1400/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73242 | time : 65735.71 | batch : 1500/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75195 | time : 66479.39 | batch : 1600/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72656 | time : 67217.40 | batch : 1700/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.70117 | time : 67946.85 | batch : 1800/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71875 | time : 68687.44 | batch : 1900/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73242 | time : 69426.58 | batch : 2000/2172
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73047 | time : 70166.18 | batch : 2100/2172
Train Epoch end... Accuracy : 0.7371422973225991
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.69141 | time : 70710.77 | batch : 0/271
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.70117 | time : 70922.92 | batch : 50/271
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.71484 | time : 71137.77 | batch : 100/271
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.66406 | time : 71352.44 | batch : 150/271
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.71875 | time : 71565.43 | batch : 200/271
3 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.68359 | time : 71776.57 | batch : 250/271
Validation Epoch end... Accuracy : 0.7014366967629627
Successfully saved!
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75781 | time : 71874.43 | batch : 0/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73828 | time : 72647.25 | batch : 100/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.77539 | time : 73395.02 | batch : 200/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.76953 | time : 74134.45 | batch : 300/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.71484 | time : 74879.45 | batch : 400/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.76562 | time : 75629.28 | batch : 500/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73438 | time : 76375.41 | batch : 600/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.76367 | time : 77115.60 | batch : 700/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74414 | time : 77866.60 | batch : 800/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75781 | time : 78614.30 | batch : 900/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75195 | time : 79367.77 | batch : 1000/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.77344 | time : 80123.51 | batch : 1100/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.73438 | time : 80881.52 | batch : 1200/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74414 | time : 81628.58 | batch : 1300/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74414 | time : 82367.54 | batch : 1400/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.76172 | time : 83103.27 | batch : 1500/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75195 | time : 83847.09 | batch : 1600/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75977 | time : 84586.46 | batch : 1700/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.74805 | time : 85328.13 | batch : 1800/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72461 | time : 86075.27 | batch : 1900/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.77344 | time : 86817.05 | batch : 2000/2172
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.75000 | time : 87564.82 | batch : 2100/2172
Train Epoch end... Accuracy : 0.7424427293848505
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.70508 | time : 88096.63 | batch : 0/271
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.70117 | time : 88309.75 | batch : 50/271
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.71289 | time : 88523.29 | batch : 100/271
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.68555 | time : 88736.85 | batch : 150/271
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.72266 | time : 88949.27 | batch : 200/271
4 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | valid_acc : 0.70703 | time : 89159.66 | batch : 250/271
Validation Epoch end... Accuracy : 0.7043199583041712
Successfully saved!
5 epoch ; toggle-NS_mingi_p=0.0_batch=512_hidden=1025 | train_acc : 0.72656 | time : 89256.69 | batch : 0/2172
